name	row_number	problem_type	problem_col	error_message
mc01	0	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc01	0	value	result_type	"None" is not in controlled vocabulary for data_type
mc01	1	value	geologic_classes	"None" is not in controlled vocabulary for class
mc01	1	value	lithologies	"None" is not in controlled vocabulary for lithology
mc01	1	value	geologic_types	"None" is not in controlled vocabulary for type
mc01	1	value	result_type	"None" is not in controlled vocabulary for data_type
mc01	2	value	geologic_classes	"None" is not in controlled vocabulary for class
mc01	2	value	lithologies	"None" is not in controlled vocabulary for lithology
mc01	2	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc01	2	value	geologic_types	"None" is not in controlled vocabulary for type
mc01	3	value	geologic_classes	"None" is not in controlled vocabulary for class
mc01	3	value	lithologies	"None" is not in controlled vocabulary for lithology
mc01	3	value	geologic_types	"None" is not in controlled vocabulary for type
mc01	3	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc01	3	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc01	3	value	result_type	"None" is not in controlled vocabulary for data_type
mc02	4	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc02	4	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc02	4	value	result_type	"None" is not in controlled vocabulary for data_type
mc02	5	value	geologic_classes	"None" is not in controlled vocabulary for class
mc02	5	value	lithologies	"None" is not in controlled vocabulary for lithology
mc02	5	value	geologic_types	"None" is not in controlled vocabulary for type
mc02	5	value	result_type	"None" is not in controlled vocabulary for data_type
mc02	6	value	geologic_classes	"None" is not in controlled vocabulary for class
mc02	6	value	lithologies	"None" is not in controlled vocabulary for lithology
mc02	6	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc02	6	value	geologic_types	"None" is not in controlled vocabulary for type
mc02	7	value	geologic_classes	"None" is not in controlled vocabulary for class
mc02	7	value	lithologies	"None" is not in controlled vocabulary for lithology
mc02	7	value	geologic_types	"None" is not in controlled vocabulary for type
mc02	7	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc02	7	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc02	7	value	result_type	"None" is not in controlled vocabulary for data_type
mc03	8	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc03	8	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc03	8	value	result_type	"None" is not in controlled vocabulary for data_type
mc03	9	value	geologic_classes	"None" is not in controlled vocabulary for class
mc03	9	value	lithologies	"None" is not in controlled vocabulary for lithology
mc03	9	value	geologic_types	"None" is not in controlled vocabulary for type
mc03	9	value	result_type	"None" is not in controlled vocabulary for data_type
mc03	10	value	geologic_classes	"None" is not in controlled vocabulary for class
mc03	10	value	lithologies	"None" is not in controlled vocabulary for lithology
mc03	10	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc03	10	value	geologic_types	"None" is not in controlled vocabulary for type
mc03	11	value	geologic_classes	"None" is not in controlled vocabulary for class
mc03	11	value	lithologies	"None" is not in controlled vocabulary for lithology
mc03	11	value	geologic_types	"None" is not in controlled vocabulary for type
mc03	11	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc03	11	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc03	11	value	result_type	"None" is not in controlled vocabulary for data_type
mc04	12	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc04	12	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc04	12	value	result_type	"None" is not in controlled vocabulary for data_type
mc04	13	value	geologic_classes	"None" is not in controlled vocabulary for class
mc04	13	value	lithologies	"None" is not in controlled vocabulary for lithology
mc04	13	value	geologic_types	"None" is not in controlled vocabulary for type
mc04	13	value	result_type	"None" is not in controlled vocabulary for data_type
mc04	14	value	geologic_classes	"None" is not in controlled vocabulary for class
mc04	14	value	lithologies	"None" is not in controlled vocabulary for lithology
mc04	14	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc04	14	value	geologic_types	"None" is not in controlled vocabulary for type
mc04	15	value	geologic_classes	"None" is not in controlled vocabulary for class
mc04	15	value	lithologies	"None" is not in controlled vocabulary for lithology
mc04	15	value	geologic_types	"None" is not in controlled vocabulary for type
mc04	15	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc04	15	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc04	15	value	result_type	"None" is not in controlled vocabulary for data_type
mc06	16	value	result_type	"None" is not in controlled vocabulary for data_type
mc06	17	value	geologic_classes	"None" is not in controlled vocabulary for class
mc06	17	value	lithologies	"None" is not in controlled vocabulary for lithology
mc06	17	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc06	17	value	geologic_types	"None" is not in controlled vocabulary for type
mc06	18	value	geologic_classes	"None" is not in controlled vocabulary for class
mc06	18	value	lithologies	"None" is not in controlled vocabulary for lithology
mc06	18	value	geologic_types	"None" is not in controlled vocabulary for type
mc06	18	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc06	18	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc06	18	value	result_type	"None" is not in controlled vocabulary for data_type
mc07	19	value	result_type	"None" is not in controlled vocabulary for data_type
mc07	20	value	geologic_classes	"None" is not in controlled vocabulary for class
mc07	20	value	lithologies	"None" is not in controlled vocabulary for lithology
mc07	20	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc07	20	value	geologic_types	"None" is not in controlled vocabulary for type
mc07	21	value	geologic_classes	"None" is not in controlled vocabulary for class
mc07	21	value	lithologies	"None" is not in controlled vocabulary for lithology
mc07	21	value	geologic_types	"None" is not in controlled vocabulary for type
mc07	21	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc07	21	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc07	21	value	result_type	"None" is not in controlled vocabulary for data_type
mc08	22	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc08	22	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc08	22	value	result_type	"None" is not in controlled vocabulary for data_type
mc08	23	value	geologic_classes	"None" is not in controlled vocabulary for class
mc08	23	value	lithologies	"None" is not in controlled vocabulary for lithology
mc08	23	value	geologic_types	"None" is not in controlled vocabulary for type
mc08	23	value	result_type	"None" is not in controlled vocabulary for data_type
mc08	24	value	geologic_classes	"None" is not in controlled vocabulary for class
mc08	24	value	lithologies	"None" is not in controlled vocabulary for lithology
mc08	24	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc08	24	value	geologic_types	"None" is not in controlled vocabulary for type
mc08	24	value	result_type	"None" is not in controlled vocabulary for data_type
mc08	25	value	geologic_classes	"None" is not in controlled vocabulary for class
mc08	25	value	lithologies	"None" is not in controlled vocabulary for lithology
mc08	25	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc08	25	value	geologic_types	"None" is not in controlled vocabulary for type
mc08	26	value	geologic_classes	"None" is not in controlled vocabulary for class
mc08	26	value	lithologies	"None" is not in controlled vocabulary for lithology
mc08	26	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc08	26	value	geologic_types	"None" is not in controlled vocabulary for type
mc08	27	value	geologic_classes	"None" is not in controlled vocabulary for class
mc08	27	value	lithologies	"None" is not in controlled vocabulary for lithology
mc08	27	value	geologic_types	"None" is not in controlled vocabulary for type
mc08	27	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc08	27	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc08	27	value	result_type	"None" is not in controlled vocabulary for data_type
mc09	28	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc09	28	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc09	28	value	result_type	"None" is not in controlled vocabulary for data_type
mc09	29	value	geologic_classes	"None" is not in controlled vocabulary for class
mc09	29	value	lithologies	"None" is not in controlled vocabulary for lithology
mc09	29	value	geologic_types	"None" is not in controlled vocabulary for type
mc09	29	value	result_type	"None" is not in controlled vocabulary for data_type
mc09	30	value	geologic_classes	"None" is not in controlled vocabulary for class
mc09	30	value	lithologies	"None" is not in controlled vocabulary for lithology
mc09	30	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc09	30	value	geologic_types	"None" is not in controlled vocabulary for type
mc09	30	value	result_type	"None" is not in controlled vocabulary for data_type
mc09	31	value	geologic_classes	"None" is not in controlled vocabulary for class
mc09	31	value	lithologies	"None" is not in controlled vocabulary for lithology
mc09	31	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc09	31	value	geologic_types	"None" is not in controlled vocabulary for type
mc09	32	value	geologic_classes	"None" is not in controlled vocabulary for class
mc09	32	value	lithologies	"None" is not in controlled vocabulary for lithology
mc09	32	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc09	32	value	geologic_types	"None" is not in controlled vocabulary for type
mc09	33	value	geologic_classes	"None" is not in controlled vocabulary for class
mc09	33	value	lithologies	"None" is not in controlled vocabulary for lithology
mc09	33	value	geologic_types	"None" is not in controlled vocabulary for type
mc09	33	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc09	33	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc09	33	value	result_type	"None" is not in controlled vocabulary for data_type
mc10	34	value	result_type	"None" is not in controlled vocabulary for data_type
mc10	35	value	geologic_classes	"None" is not in controlled vocabulary for class
mc10	35	value	lithologies	"None" is not in controlled vocabulary for lithology
mc10	35	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc10	35	value	geologic_types	"None" is not in controlled vocabulary for type
mc10	35	value	result_type	"None" is not in controlled vocabulary for data_type
mc10	36	value	geologic_classes	"None" is not in controlled vocabulary for class
mc10	36	value	lithologies	"None" is not in controlled vocabulary for lithology
mc10	36	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc10	36	value	geologic_types	"None" is not in controlled vocabulary for type
mc10	37	value	geologic_classes	"None" is not in controlled vocabulary for class
mc10	37	value	lithologies	"None" is not in controlled vocabulary for lithology
mc10	37	value	geologic_types	"None" is not in controlled vocabulary for type
mc10	37	value	age_unit	"None" is not in controlled vocabulary for age_unit
mc10	37	value	dir_polarity	"None" is not in controlled vocabulary for polarity
mc10	37	value	result_type	"None" is not in controlled vocabulary for data_type
