# sloppy aspiration
([pbtdkgɡcnjmɲɟŋrl])h	\1ʰ
([pbtdkgɡcnjmɲɟŋ])w	\1ʷ
[łɫ]	lˠ
# nasals
ŋ̥	ŋ̊
ᵏŋ	ŋ̊
ᵖm	m̥
ᵗn	n̥
ⁿɗ	ɗ̥
ŋ̩	ŋ̍

# re-diphtongization of vowels
# vowels which need to be re-diphtongized
ɛɪ	ɛi
tn	n̥
