tab	specimens
specimen	sample
mc01f	mc01f
mc02c	mc02c
mc02e	mc02e
mc02g	mc02g
mc03b	mc03b
mc03d	mc03d
mc04a	mc04a
mc04h	mc04h
mc06c	mc06c
mc07e	mc07e
mc08d	mc08d
mc09h	mc09h
mc10e	mc10e
mc11d	mc11d
mc13g	mc13g
mc14f	mc14f
mc15g	mc15g
mc19c	mc19c
mc20b	mc20b
mc20f	mc20f
mc21d	mc21d
mc26h	mc26h
mc28d	mc28d
mc29a	mc29a
mc29f	mc29f
mc30c	mc30c
mc31f	mc31f
mc32f	mc32f
mc33d	mc33d
mc34d	mc34d
mc35f	mc35f
mc36g	mc36g
mc37f	mc37f
mc38b	mc38b
mc39g	mc39g
mc40c	mc40c
mc41c	mc41c
mc41f	mc41f
mc42f	mc42f
mc43a	mc43a
mc43c	mc43c
mc44d	mc44d
mc48c	mc48c
mc49a	mc49a
mc49c	mc49c
mc49d	mc49d
mc50d	mc50d
mc15c2	mc15c
mc01a	mc01a
mc01b	mc01b
mc01d	mc01d
mc01g	mc01g
mc02f	mc02f
mc03h	mc03h
mc04g	mc04g
mc06h	mc06h
mc07b	mc07b
mc08a	mc08a
mc08b	mc08b
mc08g	mc08g
mc08h	mc08h
mc09a	mc09a
mc09b	mc09b
mc09d	mc09d
mc10a	mc10a
mc10b	mc10b
mc10d	mc10d
mc11b	mc11b
mc11c	mc11c
mc11e	mc11e
mc11h	mc11h
mc13a	mc13a
mc13b	mc13b
mc13c	mc13c
mc13d	mc13d
mc14b	mc14b
mc14c	mc14c
mc14d	mc14d
mc14h	mc14h
mc15a	mc15a
mc15b	mc15b
mc15c	mc15c
mc15h	mc15h
mc19b	mc19b
mc20d	mc20d
mc20h	mc20h
mc21a	mc21a
mc21b	mc21b
mc21c	mc21c
mc21e	mc21e
mc26a	mc26a
mc26c	mc26c
mc26d	mc26d
mc26e	mc26e
mc28a	mc28a
mc28b	mc28b
mc28c	mc28c
mc28f	mc28f
mc29d	mc29d
mc30a	mc30a
mc30b	mc30b
mc30d	mc30d
mc30e	mc30e
mc31b	mc31b
mc32a	mc32a
mc32b	mc32b
mc32c	mc32c
mc32d	mc32d
mc32e	mc32e
mc33b	mc33b
mc33c	mc33c
mc33e	mc33e
mc34c	mc34c
mc35a	mc35a
mc35b	mc35b
mc35c	mc35c
mc35d	mc35d
mc36a	mc36a
mc36b	mc36b
mc36e	mc36e
mc36h	mc36h
mc37c	mc37c
mc37d	mc37d
mc37e	mc37e
mc37h	mc37h
mc38g	mc38g
mc39a	mc39a
mc39b	mc39b
mc39c	mc39c
mc40a	mc40a
mc40b	mc40b
mc40e	mc40e
mc41h	mc41h
mc42c	mc42c
mc43f	mc43f
mc44a	mc44a
mc44b	mc44b
mc44g	mc44g
mc44h	mc44h
mc48a	mc48a
mc48b	mc48b
mc48f	mc48f
mc48g	mc48g
mc49e	mc49e
mc50a	mc50a
mc50b	mc50b
mc50e	mc50e
mc50f	mc50f
mc01c	mc01c
mc01e	mc01e
mc01h	mc01h
mc02a	mc02a
mc02b	mc02b
mc02h	mc02h
mc03a	mc03a
mc03c	mc03c
mc03f	mc03f
mc04b	mc04b
mc04e	mc04e
mc04f	mc04f
mc06a	mc06a
mc06d	mc06d
mc06g	mc06g
mc07c	mc07c
mc07d	mc07d
mc07f	mc07f
mc08c	mc08c
mc08e	mc08e
mc08f	mc08f
mc09c	mc09c
mc09e	mc09e
mc09f	mc09f
mc09g	mc09g
mc10c	mc10c
mc10f	mc10f
mc10g	mc10g
mc10h	mc10h
mc11a	mc11a
mc11f	mc11f
mc11g	mc11g
mc13e	mc13e
mc13f	mc13f
mc13h	mc13h
mc14a	mc14a
mc14e	mc14e
mc14g	mc14g
mc15d	mc15d
mc15e	mc15e
mc15f	mc15f
mc19a	mc19a
mc19d	mc19d
mc19e	mc19e
mc19f	mc19f
mc19g	mc19g
mc20a	mc20a
mc20c	mc20c
mc20e	mc20e
mc21f	mc21f
mc21g	mc21g
mc21h	mc21h
mc26b	mc26b
mc26f	mc26f
mc26g	mc26g
mc28e	mc28e
mc28g	mc28g
mc28h	mc28h
mc29b	mc29b
mc29c	mc29c
mc29e	mc29e
mc29g	mc29g
mc29h	mc29h
mc30f	mc30f
mc30g	mc30g
mc30h	mc30h
mc31c	mc31c
mc31d	mc31d
mc31h	mc31h
mc32g	mc32g
mc32h	mc32h
mc33a	mc33a
mc33f	mc33f
mc33g	mc33g
mc33h	mc33h
mc34a	mc34a
mc34b	mc34b
mc34e	mc34e
mc34f	mc34f
mc34h	mc34h
mc35e	mc35e
mc35g	mc35g
mc35h	mc35h
mc36c	mc36c
mc36d	mc36d
mc36f	mc36f
mc37a	mc37a
mc37b	mc37b
mc37g	mc37g
mc38a	mc38a
mc38c	mc38c
mc38e	mc38e
mc38f	mc38f
mc38h	mc38h
mc39d	mc39d
mc39e	mc39e
mc39f	mc39f
mc39h	mc39h
mc40f	mc40f
mc40g	mc40g
mc40h	mc40h
mc41a	mc41a
mc41b	mc41b
mc41d	mc41d
mc41e	mc41e
mc42b	mc42b
mc42d	mc42d
mc42h	mc42h
mc43b	mc43b
mc43e	mc43e
mc43g	mc43g
mc44c	mc44c
mc44e	mc44e
mc44f	mc44f
mc48d	mc48d
mc48e	mc48e
mc48h	mc48h
mc49b	mc49b
mc49g	mc49g
mc49h	mc49h
mc50c	mc50c
mc50g	mc50g
mc50h	mc50h
mc100a1	mc100a
mc100d1	mc100d
mc100e1	mc100e
mc100g1	mc100g
mc100h2	mc100h
mc101a1	mc101a
mc101b1	mc101b
mc101c1	mc101c
mc101d1	mc101d
mc101f1	mc101f
mc101h1	mc101h
mc102a1	mc102a
mc102b2	mc102b
mc102e1	mc102e
mc102f1	mc102f
mc102g1	mc102g
mc102m2	mc102m
mc103a1	mc103a
mc103b2	mc103b
mc103c2	mc103c
mc103d2	mc103d
mc103e2	mc103e
mc104a1	mc104a
mc104b2	mc104b
mc104c1	mc104c
mc104d1	mc104d
mc104f1	mc104f
mc105a1	mc105a
mc105f1	mc105f
mc105g1	mc105g
mc105h1	mc105h
mc106a1	mc106a
mc106b1	mc106b
mc106c1	mc106c
mc106d1	mc106d
mc106e1	mc106e
mc107c1	mc107c
mc107e1	mc107e
mc107h1	mc107h
mc107k1	mc107k
mc107l1	mc107l
mc108a1	mc108a
mc108b1	mc108b
mc108d1	mc108d
mc108g2	mc108g
mc108k1	mc108k
mc109a2	mc109a
mc109i1	mc109i
mc110a2	mc110a
mc110b2	mc110b
mc110d1	mc110d
mc110g1	mc110g
mc110i1	mc110i
mc111a2	mc111a
mc111b1	mc111b
mc111d1	mc111d
mc111e1	mc111e
mc111f1	mc111f
mc112a1	mc112a
mc112d1	mc112d
mc112g1	mc112g
mc112h3	mc112h
mc112j1	mc112j
mc113a1	mc113a
mc113b1	mc113b
mc113c1	mc113c
mc113e1	mc113e
mc113f1	mc113f
mc113g1	mc113g
mc113h1	mc113h
mc114a1	mc114a
mc114b2	mc114b
mc114c1	mc114c
mc114d2	mc114d
mc114e1	mc114e
mc114i1	mc114i
mc115a1	mc115a
mc115g2	mc115g
mc116a1	mc116a
mc116c1	mc116c
mc116i2	mc116i
mc117a2	mc117a
mc117h1	mc117h
mc118a1	mc118a
mc118c1	mc118c
mc118d1	mc118d
mc118e1	mc118e
mc118f1	mc118f
mc118i1	mc118i
mc118l2	mc118l
mc119b2	mc119b
mc120a2	mc120a
mc120j2	mc120j
mc120l1	mc120l
mc120m2	mc120m
mc121a1	mc121a
mc121c3	mc121c
mc121d2	mc121d
mc121e2	mc121e
mc121i1	mc121i
mc122a1	mc122a
mc122b1	mc122b
mc122c1	mc122c
mc122d1	mc122d
mc122k2	mc122k
mc123a1	mc123a
mc123c2	mc123c
mc123f1	mc123f
mc123j1	mc123j
mc124d1	mc124d
mc124f1	mc124f
mc124g1	mc124g
mc124h1	mc124h
mc124j1	mc124j
mc124l1	mc124l
mc125a1	mc125a
mc125b1	mc125b
mc125c1	mc125c
mc125e3	mc125e
mc125g1	mc125g
mc125m1	mc125m
mc126a2	mc126a
mc126c1	mc126c
mc126d1	mc126d
mc126e1	mc126e
mc126g1	mc126g
mc127a1	mc127a
mc127b1	mc127b
mc127f1	mc127f
mc127g2	mc127g
mc127i1	mc127i
mc128b1	mc128b
mc128d1	mc128d
mc128e2	mc128e
mc128f1	mc128f
mc128h1	mc128h
mc129a1	mc129a
mc129f1	mc129f
mc129h2	mc129h
mc129j1	mc129j
mc130a2	mc130a
mc130b1	mc130b
mc130e1	mc130e
mc130g2	mc130g
mc130i2	mc130i
mc131a3	mc131a
mc131f1	mc131f
mc131k1	mc131k
mc132a1	mc132a
mc132c1	mc132c
mc132d1	mc132d
mc132e1	mc132e
mc132j2	mc132j
mc132l1	mc132l
mc133b2	mc133b
mc133d1	mc133d
mc133f2	mc133f
mc133h1	mc133h
mc133j1	mc133j
mc134a1	mc134a
mc134c1	mc134c
mc134e1	mc134e
mc134k1	mc134k
mc135b1	mc135b
mc135d2	mc135d
mc135e2	mc135e
mc135h2	mc135h
mc135i2	mc135i
mc136a1	mc136a
mc136c1	mc136c
