tab	specimens
mc136d1	mc136d
mc136d2	mc136d
mc136e1	mc136e
mc136g1	mc136g
mc136i1	mc136i
mc137a1	mc137a
mc137d1	mc137d
mc137h1	mc137h
mc137j2	mc137j
mc137l1	mc137l
mc138a1	mc138a
mc138b1	mc138b
mc138d1	mc138d
mc138g1	mc138g
mc138h1	mc138h
mc139a2	mc139a
mc139d1	mc139d
mc139e1	mc139e
mc139h1	mc139h
mc139j2	mc139j
mc140e1	mc140e
mc140g1	mc140g
mc140h1	mc140h
mc140j1	mc140j
mc141b2	mc141b
mc141g1	mc141g
mc141h3	mc141h
mc141k2	mc141k
mc141l1	mc141l
mc142b2	mc142b
mc142c2	mc142c
mc142e1	mc142e
mc142i2	mc142i
mc142k1	mc142k
mc143a1	mc143a
mc143b1	mc143b
mc143c1	mc143c
mc143d2	mc143d
mc143g1	mc143g
mc143h1	mc143h
mc143i1	mc143i
mc144a1	mc144a
mc144b1	mc144b
mc144d1	mc144d
mc144h2	mc144h
mc144j1	mc144j
mc145b1	mc145b
mc145c1	mc145c
mc145i1	mc145i
mc145j1	mc145j
mc146a1	mc146a
mc146d1	mc146d
mc146h1	mc146h
mc146j1	mc146j
mc146k1	mc146k
mc147c1	mc147c
mc148a1	mc148a
mc148b1	mc148b
mc148c1	mc148c
mc148f1	mc148f
mc148k1	mc148k
mc149a1	mc149a
mc150b1	mc150b
mc150c1	mc150c
mc150e1	mc150e
mc150f1	mc150f
mc150g1	mc150g
mc152a1	mc152a
mc152b1	mc152b
mc152c1	mc152c
mc152i1	mc152i
mc152k1	mc152k
mc153a2	mc153a
mc153e1	mc153e
mc153i1	mc153i
mc153j1	mc153j
mc153m1	mc153m
mc154a1	mc154a
mc154b1	mc154b
mc154e1	mc154e
mc154f1	mc154f
mc154h1	mc154h
mc155a1	mc155a
mc155b1	mc155b
mc155e2	mc155e
mc155g1	mc155g
mc155i1	mc155i
mc156a1	mc156a
mc156c1	mc156c
mc156f1	mc156f
mc156g1	mc156g
mc156h1	mc156h
mc157a2	mc157a
mc157b2	mc157b
mc157f1	mc157f
mc157j1	mc157j
mc157k1	mc157k
mc158b2	mc158b
mc158c1	mc158c
mc158d1	mc158d
mc158f1	mc158f
mc158h1	mc158h
mc160a2	mc160a
mc160b1	mc160b
mc160c1	mc160c
mc160e2	mc160e
mc160j1	mc160j
mc161a1	mc161a
mc161e1	mc161e
mc161f1	mc161f
mc161j1	mc161j
mc161k1	mc161k
mc162b2	mc162b
mc162f1	mc162f
mc162g1	mc162g
mc162i1	mc162i
mc162j1	mc162j
mc163a1	mc163a
mc163b1	mc163b
mc163c1	mc163c
mc163e1	mc163e
mc163f1	mc163f
mc164a2	mc164a
mc165a1	mc165a
mc165b2	mc165b
mc165c2	mc165c
mc165g1	mc165g
mc166a1	mc166a
mc166b2	mc166b
mc166c2	mc166c
mc166i1	mc166i
mc167a1	mc167a
mc167e1	mc167e
mc167f2	mc167f
mc167h1	mc167h
mc167j1	mc167j
mc168c1	mc168c
mc168h1	mc168h
mc168i1	mc168i
mc168j1	mc168j
mc168k1	mc168k
mc170a1	mc170a
mc170c2	mc170c
mc170d1	mc170d
mc170e2	mc170e
mc170f1	mc170f
mc100e2	mc100e
mc100f2	mc100f
mc100g2	mc100g
mc102a2	mc102a
mc102b1	mc102b
mc103a2	mc103a
mc103b1	mc103b
mc103c1	mc103c
mc103d1	mc103d
mc103e1	mc103e
mc104b1	mc104b
mc104c2	mc104c
mc105a2	mc105a
mc105c1	mc105c
mc105d1	mc105d
mc105j1	mc105j
mc107d2	mc107d
mc107e2	mc107e
mc108a2	mc108a
mc108c1	mc108c
mc108h1	mc108h
mc109a1	mc109a
mc109c1	mc109c
mc109d1	mc109d
mc109e1	mc109e
mc110a1	mc110a
mc110b1	mc110b
mc111d2	mc111d
mc111e2	mc111e
mc111l1	mc111l
mc112b2	mc112b
mc112c1	mc112c
mc112c2	mc112c
mc113a2	mc113a
mc113j1	mc113j
mc113m1	mc113m
mc115a2	mc115a
mc115b1	mc115b
mc115e1	mc115e
mc115h1	mc115h
mc116b1	mc116b
mc116j2	mc116j
mc117a1	mc117a
mc117b1	mc117b
mc117d2	mc117d
mc117e2	mc117e
mc119a1	mc119a
mc119b1	mc119b
mc119d2	mc119d
mc119e2	mc119e
mc119f2	mc119f
mc120a1	mc120a
mc120b1	mc120b
mc120b2	mc120b
mc120c1	mc120c
mc120f1	mc120f
mc121c1	mc121c
mc121d1	mc121d
mc121e1	mc121e
mc121f2	mc121f
mc121g1	mc121g
mc121k1	mc121k
mc121k2	mc121k
mc122f1	mc122f
mc122g1	mc122g
mc122l1	mc122l
mc123a2	mc123a
mc123b1	mc123b
mc123b2	mc123b
mc123c3	mc123c
mc124a1	mc124a
mc124d2	mc124d
mc125d1	mc125d
mc125e1	mc125e
mc125i1	mc125i
mc126c2	mc126c
mc126f1	mc126f
mc126i1	mc126i
mc127a2	mc127a
mc127c1	mc127c
mc127d1	mc127d
mc128b2	mc128b
mc128c2	mc128c
mc128e1	mc128e
mc128j1	mc128j
mc129a2	mc129a
mc129b1	mc129b
mc129c1	mc129c
mc129c2	mc129c
mc129l1	mc129l
mc130a1	mc130a
mc130d1	mc130d
mc130h1	mc130h
mc130j2	mc130j
mc131b1	mc131b
mc131c2	mc131c
mc131d2	mc131d
mc131e1	mc131e
mc131g1	mc131g
mc132e2	mc132e
mc132f2	mc132f
mc132g2	mc132g
mc132h2	mc132h
mc132i2	mc132i
mc132j1	mc132j
mc132k1	mc132k
mc133f1	mc133f
mc133g1	mc133g
mc133l1	mc133l
mc134c2	mc134c
mc134f1	mc134f
mc135a1	mc135a
mc135c2	mc135c
mc135e1	mc135e
mc136a2	mc136a
mc136h2	mc136h
mc136i2	mc136i
mc139a1	mc139a
mc139c1	mc139c
mc140a1	mc140a
mc140b1	mc140b
mc140c1	mc140c
mc140d1	mc140d
mc141b1	mc141b
mc141c1	mc141c
mc142c1	mc142c
mc142d1	mc142d
mc142e2	mc142e
mc142f2	mc142f
mc142k2	mc142k
mc144e1	mc144e
mc144f1	mc144f
mc144h1	mc144h
mc144j2	mc144j
mc144k1	mc144k
mc145c2	mc145c
mc145f1	mc145f
mc145k2	mc145k
mc145l1	mc145l
mc146e1	mc146e
mc146f1	mc146f
mc146i2	mc146i
mc146j2	mc146j
mc147a1	mc147a
mc147i1	mc147i
mc147j2	mc147j
mc147k2	mc147k
mc148d1	mc148d
mc148i1	mc148i
mc148j1	mc148j
mc149b1	mc149b
mc149d1	mc149d
mc149e1	mc149e
mc149g1	mc149g
mc152b2	mc152b
mc152e1	mc152e
mc152g1	mc152g
mc153a1	mc153a
mc153c1	mc153c
mc154a2	mc154a
mc154j2	mc154j
mc155c1	mc155c
mc155h1	mc155h
mc155m1	mc155m
mc156b1	mc156b
mc156c2	mc156c
mc156i1	mc156i
mc157a1	mc157a
mc157b1	mc157b
mc157c2	mc157c
mc157e2	mc157e
mc158a1	mc158a
mc158b1	mc158b
mc160a1	mc160a
mc160e1	mc160e
mc160f2	mc160f
mc160h2	mc160h
mc160j2	mc160j
mc161b1	mc161b
mc161g1	mc161g
mc162b1	mc162b
mc162c1	mc162c
mc163d1	mc163d
mc163h1	mc163h
mc164a1	mc164a
mc164b1	mc164b
mc164c1	mc164c
mc164f1	mc164f
mc164j1	mc164j
mc165b1	mc165b
mc165c1	mc165c
mc165h2	mc165h
mc165i2	mc165i
mc166b1	mc166b
mc166c1	mc166c
mc166h2	mc166h
mc166i2	mc166i
mc167b1	mc167b
mc167d2	mc167d
mc167e2	mc167e
mc167k1	mc167k
mc168a1	mc168a
mc168c2	mc168c
mc168d1	mc168d
mc168f1	mc168f
mc168h2	mc168h
mc164g2	mc164g
mc164h1	mc164h
mc164i1	mc164i
mc164l2	mc164l
mc200a1	mc200a
mc200a2	mc200a
mc200b2	mc200b
mc200c2	mc200c
mc200d2	mc200d
mc201a1	mc201a
mc201b2	mc201b
mc201c1	mc201c
mc201d1	mc201d
mc201e1	mc201e
mc201j1	mc201j
mc202a1	mc202a
mc202c1	mc202c
mc202d1	mc202d
mc202f1	mc202f
mc202h1	mc202h
mc202j1	mc202j
mc203a1	mc203a
mc203c1	mc203c
mc203d1	mc203d
mc203g1	mc203g
mc203h1	mc203h
mc204a1	mc204a
mc204c1	mc204c
mc204h1	mc204h
mc204k1	mc204k
mc204l1	mc204l
mc205a1	mc205a
mc205c1	mc205c
mc205d1	mc205d
mc205e1	mc205e
mc205h2	mc205h
mc206a1	mc206a
mc206g1	mc206g
mc206h1	mc206h
mc206i1	mc206i
mc206k1	mc206k
mc207a1	mc207a
mc207d1	mc207d
mc207g2	mc207g
mc207h2	mc207h
mc207k2	mc207k
mc208a1	mc208a
mc208c2	mc208c
mc208d2	mc208d
mc208e2	mc208e
mc208f2	mc208f
mc209a1	mc209a
mc209b2	mc209b
mc209c2	mc209c
mc209e2	mc209e
mc209f1	mc209f
mc210a2	mc210a
mc210b2	mc210b
mc210c2	mc210c
mc210e1	mc210e
mc210i2	mc210i
mc211a1	mc211a
mc211b2	mc211b
mc211e2	mc211e
mc211g2	mc211g
mc212a1	mc212a
mc212b2	mc212b
mc212c2	mc212c
mc212d2	mc212d
mc212g2	mc212g
mc213e2	mc213e
mc213f2	mc213f
mc213g2	mc213g
mc213h2	mc213h
mc213i2	mc213i
mc214a2	mc214a
mc214b2	mc214b
mc214d2	mc214d
mc214g2	mc214g
mc214j2	mc214j
mc215a2	mc215a
mc215c2	mc215c
mc215d2	mc215d
mc215h2	mc215h
mc215i1	mc215i
mc216a2	mc216a
mc216c2	mc216c
mc216f2	mc216f
mc216g2	mc216g
mc216h2	mc216h
mc217a2	mc217a
mc217b2	mc217b
mc217c2	mc217c
mc217d2	mc217d
mc217e2	mc217e
mc218a2	mc218a
mc218b2	mc218b
mc218d2	mc218d
mc218i2	mc218i
mc218j2	mc218j
mc219a2	mc219a
mc219b2	mc219b
mc219c2	mc219c
mc219d2	mc219d
mc219e2	mc219e
mc220a2	mc220a
mc220b2	mc220b
mc220c2	mc220c
mc220d2	mc220d
mc220f2	mc220f
mc221c1	mc221c
mc221d2	mc221d
mc221h2	mc221h
mc221i2	mc221i
mc221j2	mc221j
mc222a1	mc222a
mc222c1	mc222c
mc222e1	mc222e
mc222h2	mc222h
mc222j2	mc222j
mc223a2	mc223a
mc223c1	mc223c
mc223d1	mc223d
mc223e1	mc223e
mc223f1	mc223f
mc224a1	mc224a
mc224b2	mc224b
mc224c2	mc224c
mc224e2	mc224e
mc224f2	mc224f
mc225a2	mc225a
mc225c2	mc225c
mc225d2	mc225d
mc225f2	mc225f
mc225g2	mc225g
mc226a1	mc226a
mc226b2	mc226b
mc226d2	mc226d
mc226f2	mc226f
mc226g2	mc226g
mc227b2	mc227b
mc227c2	mc227c
mc227d2	mc227d
mc227f2	mc227f
mc227h2	mc227h
mc228a2	mc228a
mc228b2	mc228b
mc228d2	mc228d
mc228e2	mc228e
mc228g2	mc228g
mc229a2	mc229a
mc229b2	mc229b
mc229e2	mc229e
mc229g2	mc229g
mc229h2	mc229h
mc200b1	mc200b
mc200c1	mc200c
mc200d1	mc200d
mc200h1	mc200h
mc200i1	mc200i
mc201b1	mc201b
mc202b1	mc202b
mc203b1	mc203b
mc204b1	mc204b
mc205a2	mc205a
mc205b1	mc205b
mc205h1	mc205h
mc205i2	mc205i
mc205k1	mc205k
mc206b1	mc206b
mc206c1	mc206c
mc206d1	mc206d
mc206e1	mc206e
mc206f1	mc206f
mc207b1	mc207b
mc208b1	mc208b
mc209b1	mc209b
mc210b1	mc210b
mc211b1	mc211b
mc211e1	mc211e
mc211g1	mc211g
mc211h1	mc211h
mc211i1	mc211i
mc212b1	mc212b
mc213b1	mc213b
mc214b1	mc214b
mc214d1	mc214d
mc214g1	mc214g
mc214h1	mc214h
mc214j1	mc214j
mc215a1	mc215a
mc215b1	mc215b
mc215c1	mc215c
mc215d1	mc215d
mc215h1	mc215h
mc216a1	mc216a
mc216b1	mc216b
mc216c1	mc216c
mc216f1	mc216f
mc216g1	mc216g
mc217a1	mc217a
mc217b1	mc217b
mc217c1	mc217c
mc217d1	mc217d
mc217e1	mc217e
mc218a1	mc218a
mc218b1	mc218b
mc218d1	mc218d
mc218i1	mc218i
mc218j1	mc218j
mc219a1	mc219a
mc219b1	mc219b
mc219c1	mc219c
mc219d1	mc219d
mc219e1	mc219e
mc220a1	mc220a
mc220b1	mc220b
mc220c1	mc220c
mc220d1	mc220d
mc220e1	mc220e
mc221b1	mc221b
mc222b1	mc222b
mc223a1	mc223a
mc223b1	mc223b
mc223c2	mc223c
mc223g1	mc223g
mc223l1	mc223l
mc224b1	mc224b
mc225a1	mc225a
mc225b1	mc225b
mc225c1	mc225c
mc225d1	mc225d
mc225i1	mc225i
mc226b1	mc226b
mc227b1	mc227b
mc228a1	mc228a
mc228b1	mc228b
mc228d1	mc228d
mc228e1	mc228e
mc228g1	mc228g
mc229b1	mc229b
mc229g1	mc229g
mc229h1	mc229h
mc229i1	mc229i
mc229k1	mc229k
mc04c-1	mc04c
mc113a1-1	mc113a
mc117a2-1	mc117a
mc120a2-1	mc120a
mc129a1-1	mc129a
mc164a2-1	mc164a
mc205a1-1	mc205a
mc217a2-1	mc217a
