tab	samples
mc39c	mc39
mc40a	mc40
mc40b	mc40
mc40e	mc40
mc41h	mc41
mc42c	mc42
mc43f	mc43
mc44a	mc44
mc44b	mc44
mc44g	mc44
mc44h	mc44
mc48a	mc48
mc48b	mc48
mc48f	mc48
mc48g	mc48
mc49e	mc49
mc50a	mc50
mc50b	mc50
mc50e	mc50
mc50f	mc50
mc01c	mc01
mc01e	mc01
mc01h	mc01
mc02a	mc02
mc02b	mc02
mc02h	mc02
mc03a	mc03
mc03c	mc03
mc03f	mc03
mc04b	mc04
mc04e	mc04
mc04f	mc04
mc06a	mc06
mc06d	mc06
mc06g	mc06
mc07c	mc07
mc07d	mc07
mc07f	mc07
mc08c	mc08
mc08e	mc08
mc08f	mc08
mc09c	mc09
mc09e	mc09
mc09f	mc09
mc09g	mc09
mc10c	mc10
mc10f	mc10
mc10g	mc10
mc10h	mc10
mc11a	mc11
mc11f	mc11
mc11g	mc11
mc13e	mc13
mc13f	mc13
mc13h	mc13
mc14a	mc14
mc14e	mc14
mc14g	mc14
mc15d	mc15
mc15e	mc15
mc15f	mc15
mc19a	mc19
mc19d	mc19
mc19e	mc19
mc19f	mc19
mc19g	mc19
mc20a	mc20
mc20c	mc20
mc20e	mc20
mc21f	mc21
mc21g	mc21
mc21h	mc21
mc26b	mc26
mc26f	mc26
mc26g	mc26
mc28e	mc28
mc28g	mc28
mc28h	mc28
mc29b	mc29
mc29c	mc29
mc29e	mc29
mc29g	mc29
mc29h	mc29
mc30f	mc30
mc30g	mc30
mc30h	mc30
mc31c	mc31
mc31d	mc31
mc31h	mc31
mc32g	mc32
mc32h	mc32
mc33a	mc33
mc33f	mc33
mc33g	mc33
mc33h	mc33
mc34a	mc34
mc34b	mc34
mc34e	mc34
mc34f	mc34
mc34h	mc34
mc35e	mc35
mc35g	mc35
mc35h	mc35
mc36c	mc36
mc36d	mc36
mc36f	mc36
mc37a	mc37
mc37b	mc37
mc37g	mc37
mc38a	mc38
mc38c	mc38
mc38e	mc38
mc38f	mc38
mc38h	mc38
mc39d	mc39
mc39e	mc39
mc39f	mc39
mc39h	mc39
mc40f	mc40
mc40g	mc40
mc40h	mc40
mc41a	mc41
mc41b	mc41
mc41d	mc41
mc41e	mc41
mc42b	mc42
mc42d	mc42
mc42h	mc42
mc43b	mc43
mc43e	mc43
mc43g	mc43
mc44c	mc44
mc44e	mc44
mc44f	mc44
mc48d	mc48
mc48e	mc48
mc48h	mc48
mc49b	mc49
mc49g	mc49
mc49h	mc49
mc50c	mc50
mc50g	mc50
mc50h	mc50
mc100a	mc100
mc100d	mc100
mc100e	mc100
mc100g	mc100
mc100h	mc100
mc101a	mc101
mc101b	mc101
mc101c	mc101
mc101d	mc101
mc101f	mc101
mc101h	mc101
mc102a	mc102
mc102b	mc102
mc102e	mc102
mc102f	mc102
mc102g	mc102
mc102m	mc102
mc103a	mc103
mc103b	mc103
mc103c	mc103
mc103d	mc103
mc103e	mc103
mc104a	mc104
mc104b	mc104
mc104c	mc104
mc104d	mc104
mc104f	mc104
mc105a	mc105
mc105f	mc105
mc105g	mc105
mc105h	mc105
mc106a	mc106
mc106b	mc106
mc106c	mc106
mc106d	mc106
mc106e	mc106
mc107c	mc107
mc107e	mc107
mc107h	mc107
mc107k	mc107
mc107l	mc107
mc108a	mc108
mc108b	mc108
mc108d	mc108
mc108g	mc108
mc108k	mc108
mc109a	mc109
mc109i	mc109
mc110a	mc110
mc110b	mc110
mc110d	mc110
mc110g	mc110
mc110i	mc110
mc111a	mc111
mc111b	mc111
mc111d	mc111
mc111e	mc111
mc111f	mc111
mc112a	mc112
mc112d	mc112
mc112g	mc112
mc112h	mc112
mc112j	mc112
mc113a	mc113
mc113b	mc113
mc113c	mc113
mc113e	mc113
mc113f	mc113
mc113g	mc113
mc113h	mc113
mc114a	mc114
mc114b	mc114
mc114c	mc114
mc114d	mc114
mc114e	mc114
mc114i	mc114
mc115a	mc115
mc115g	mc115
mc116a	mc116
mc116c	mc116
mc116i	mc116
mc117a	mc117
mc117h	mc117
mc118a	mc118
mc118c	mc118
mc118d	mc118
mc118e	mc118
mc118f	mc118
mc118i	mc118
mc118l	mc118
mc119b	mc119
mc120a	mc120
mc120j	mc120
mc120l	mc120
mc120m	mc120
mc121a	mc121
mc121c	mc121
mc121d	mc121
mc121e	mc121
mc121i	mc121
mc122a	mc122
mc122b	mc122
mc122c	mc122
mc122d	mc122
mc122k	mc122
mc123a	mc123
mc123c	mc123
mc123f	mc123
mc123j	mc123
mc124d	mc124
mc124f	mc124
mc124g	mc124
mc124h	mc124
mc124j	mc124
mc124l	mc124
mc125a	mc125
mc125b	mc125
mc125c	mc125
mc125e	mc125
mc125g	mc125
mc125m	mc125
mc126a	mc126
mc126c	mc126
mc126d	mc126
mc126e	mc126
mc126g	mc126
mc127a	mc127
mc127b	mc127
mc127f	mc127
mc127g	mc127
mc127i	mc127
mc128b	mc128
mc128d	mc128
mc128e	mc128
mc128f	mc128
mc128h	mc128
mc129a	mc129
mc129f	mc129
mc129h	mc129
mc129j	mc129
mc130a	mc130
mc130b	mc130
mc130e	mc130
mc130g	mc130
mc130i	mc130
mc131a	mc131
mc131f	mc131
mc131k	mc131
mc132a	mc132
mc132c	mc132
mc132d	mc132
mc132e	mc132
mc132j	mc132
mc132l	mc132
mc133b	mc133
mc133d	mc133
mc133f	mc133
mc133h	mc133
mc133j	mc133
mc134a	mc134
mc134c	mc134
mc134e	mc134
mc134k	mc134
mc135b	mc135
mc135d	mc135
mc135e	mc135
mc135h	mc135
mc135i	mc135
mc136a	mc136
mc136c	mc136
mc136d	mc136
mc136e	mc136
mc136g	mc136
mc136i	mc136
mc137a	mc137
mc137d	mc137
mc137h	mc137
mc137j	mc137
mc137l	mc137
mc138a	mc138
mc138b	mc138
mc138d	mc138
mc138g	mc138
mc138h	mc138
mc139a	mc139
mc139d	mc139
mc139e	mc139
mc139h	mc139
mc139j	mc139
mc140e	mc140
mc140g	mc140
mc140h	mc140
mc140j	mc140
mc141b	mc141
mc141g	mc141
mc141h	mc141
mc141k	mc141
mc141l	mc141
mc142b	mc142
mc142c	mc142
mc142e	mc142
mc142i	mc142
mc142k	mc142
mc143a	mc143
mc143b	mc143
mc143c	mc143
mc143d	mc143
mc143g	mc143
mc143h	mc143
mc143i	mc143
mc144a	mc144
mc144b	mc144
mc144d	mc144
mc144h	mc144
mc144j	mc144
mc145b	mc145
mc145c	mc145
mc145i	mc145
mc145j	mc145
mc146a	mc146
mc146d	mc146
mc146h	mc146
mc146j	mc146
mc146k	mc146
mc147c	mc147
mc148a	mc148
mc148b	mc148
mc148c	mc148
mc148f	mc148
mc148k	mc148
mc149a	mc149
mc150b	mc150
mc150c	mc150
mc150e	mc150
mc150f	mc150
mc150g	mc150
mc152a	mc152
mc152b	mc152
mc152c	mc152
mc152i	mc152
mc152k	mc152
mc153a	mc153
mc153e	mc153
mc153i	mc153
mc153j	mc153
mc153m	mc153
mc154a	mc154
mc154b	mc154
mc154e	mc154
mc154f	mc154
mc154h	mc154
mc155a	mc155
mc155b	mc155
mc155e	mc155
mc155g	mc155
mc155i	mc155
mc156a	mc156
mc156c	mc156
mc156f	mc156
mc156g	mc156
mc156h	mc156
mc157a	mc157
mc157b	mc157
mc157f	mc157
mc157j	mc157
mc157k	mc157
mc158b	mc158
mc158c	mc158
mc158d	mc158
mc158f	mc158
mc158h	mc158
mc160a	mc160
mc160b	mc160
mc160c	mc160
mc160e	mc160
mc160j	mc160
mc161a	mc161
mc161e	mc161
mc161f	mc161
mc161j	mc161
mc161k	mc161
mc162b	mc162
mc162f	mc162
mc162g	mc162
mc162i	mc162
mc162j	mc162
mc163a	mc163
mc163b	mc163
mc163c	mc163
mc163e	mc163
mc163f	mc163
mc164a	mc164
mc165a	mc165
mc165b	mc165
mc165c	mc165
mc165g	mc165
mc166a	mc166
mc166b	mc166
mc166c	mc166
mc166i	mc166
mc167a	mc167
mc167e	mc167
mc167f	mc167
mc167h	mc167
mc167j	mc167
mc168c	mc168
mc168h	mc168
mc168i	mc168
mc168j	mc168
mc168k	mc168
mc170a	mc170
mc170c	mc170
mc170d	mc170
mc170e	mc170
mc170f	mc170
mc100f	mc100
mc105c	mc105
mc105d	mc105
mc105j	mc105
mc107d	mc107
mc108c	mc108
mc108h	mc108
mc109c	mc109
mc109d	mc109
mc109e	mc109
mc111l	mc111
mc112b	mc112
mc112c	mc112
mc113j	mc113
mc113m	mc113
mc115b	mc115
mc115e	mc115
mc115h	mc115
mc116b	mc116
mc116j	mc116
mc117b	mc117
mc117d	mc117
mc117e	mc117
mc119a	mc119
mc119d	mc119
mc119e	mc119
mc119f	mc119
mc120b	mc120
mc120c	mc120
mc120f	mc120
mc121f	mc121
mc121g	mc121
mc121k	mc121
mc122f	mc122
mc122g	mc122
mc122l	mc122
mc123b	mc123
mc124a	mc124
mc125d	mc125
mc125i	mc125
mc126f	mc126
mc126i	mc126
mc127c	mc127
mc127d	mc127
mc128c	mc128
mc128j	mc128
mc129b	mc129
mc129c	mc129
mc129l	mc129
mc130d	mc130
mc130h	mc130
mc130j	mc130
mc131b	mc131
mc131c	mc131
mc131d	mc131
mc131e	mc131
mc131g	mc131
mc132f	mc132
mc132g	mc132
mc132h	mc132
mc132i	mc132
mc132k	mc132
mc133g	mc133
mc133l	mc133
mc134f	mc134
mc135a	mc135
mc135c	mc135
mc136h	mc136
mc139c	mc139
mc140a	mc140
mc140b	mc140
mc140c	mc140
mc140d	mc140
mc141c	mc141
mc142d	mc142
mc142f	mc142
mc144e	mc144
mc144f	mc144
mc144k	mc144
mc145f	mc145
mc145k	mc145
mc145l	mc145
mc146e	mc146
mc146f	mc146
mc146i	mc146
mc147a	mc147
mc147i	mc147
mc147j	mc147
mc147k	mc147
mc148d	mc148
mc148i	mc148
mc148j	mc148
mc149b	mc149
mc149d	mc149
mc149e	mc149
mc149g	mc149
mc152e	mc152
mc152g	mc152
mc153c	mc153
mc154j	mc154
mc155c	mc155
mc155h	mc155
mc155m	mc155
mc156b	mc156
mc156i	mc156
mc157c	mc157
mc157e	mc157
mc158a	mc158
mc160f	mc160
mc160h	mc160
mc161b	mc161
mc161g	mc161
mc162c	mc162
mc163d	mc163
mc163h	mc163
mc164b	mc164
mc164c	mc164
mc164f	mc164
mc164j	mc164
mc165h	mc165
mc165i	mc165
mc166h	mc166
mc167b	mc167
mc167d	mc167
mc167k	mc167
mc168a	mc168
mc168d	mc168
mc168f	mc168
mc164g	mc164
mc164h	mc164
mc164i	mc164
mc164l	mc164
mc200a	mc200
mc200b	mc200
mc200c	mc200
mc200d	mc200
mc201a	mc201
mc201b	mc201
mc201c	mc201
mc201d	mc201
mc201e	mc201
mc201j	mc201
mc202a	mc202
mc202c	mc202
mc202d	mc202
mc202f	mc202
mc202h	mc202
mc202j	mc202
mc203a	mc203
mc203c	mc203
mc203d	mc203
mc203g	mc203
mc203h	mc203
mc204a	mc204
mc204c	mc204
mc204h	mc204
mc204k	mc204
mc204l	mc204
mc205a	mc205
mc205c	mc205
mc205d	mc205
mc205e	mc205
mc205h	mc205
mc206a	mc206
mc206g	mc206
mc206h	mc206
mc206i	mc206
mc206k	mc206
mc207a	mc207
mc207d	mc207
mc207g	mc207
mc207h	mc207
mc207k	mc207
mc208a	mc208
mc208c	mc208
mc208d	mc208
mc208e	mc208
mc208f	mc208
mc209a	mc209
mc209b	mc209
mc209c	mc209
mc209e	mc209
mc209f	mc209
mc210a	mc210
mc210b	mc210
mc210c	mc210
mc210e	mc210
mc210i	mc210
mc211a	mc211
mc211b	mc211
mc211e	mc211
mc211g	mc211
mc212a	mc212
mc212b	mc212
mc212c	mc212
mc212d	mc212
mc212g	mc212
mc213e	mc213
mc213f	mc213
mc213g	mc213
mc213h	mc213
mc213i	mc213
mc214a	mc214
mc214b	mc214
mc214d	mc214
mc214g	mc214
mc214j	mc214
mc215a	mc215
mc215c	mc215
mc215d	mc215
mc215h	mc215
mc215i	mc215
mc216a	mc216
mc216c	mc216
mc216f	mc216
mc216g	mc216
mc216h	mc216
mc217a	mc217
mc217b	mc217
mc217c	mc217
mc217d	mc217
mc217e	mc217
mc218a	mc218
mc218b	mc218
mc218d	mc218
mc218i	mc218
mc218j	mc218
mc219a	mc219
mc219b	mc219
mc219c	mc219
mc219d	mc219
mc219e	mc219
mc220a	mc220
mc220b	mc220
mc220c	mc220
mc220d	mc220
mc220f	mc220
mc221c	mc221
mc221d	mc221
mc221h	mc221
mc221i	mc221
mc221j	mc221
mc222a	mc222
mc222c	mc222
mc222e	mc222
mc222h	mc222
mc222j	mc222
mc223a	mc223
mc223c	mc223
mc223d	mc223
mc223e	mc223
mc223f	mc223
mc224a	mc224
mc224b	mc224
mc224c	mc224
mc224e	mc224
mc224f	mc224
mc225a	mc225
mc225c	mc225
mc225d	mc225
mc225f	mc225
mc225g	mc225
mc226a	mc226
mc226b	mc226
mc226d	mc226
mc226f	mc226
mc226g	mc226
mc227b	mc227
mc227c	mc227
mc227d	mc227
mc227f	mc227
mc227h	mc227
mc228a	mc228
mc228b	mc228
mc228d	mc228
mc228e	mc228
mc228g	mc228
mc229a	mc229
mc229b	mc229
mc229e	mc229
mc229g	mc229
mc229h	mc229
mc200h	mc200
mc200i	mc200
mc202b	mc202
mc203b	mc203
mc204b	mc204
mc205b	mc205
mc205i	mc205
mc205k	mc205
mc206b	mc206
mc206c	mc206
mc206d	mc206
mc206e	mc206
mc206f	mc206
mc207b	mc207
mc208b	mc208
mc211h	mc211
mc211i	mc211
mc213b	mc213
mc214h	mc214
mc215b	mc215
mc216b	mc216
mc220e	mc220
mc221b	mc221
mc222b	mc222
mc223b	mc223
mc223g	mc223
mc223l	mc223
mc225b	mc225
mc225i	mc225
mc229i	mc229
mc229k	mc229
mc04c	mc04
