tab	samples
sample	site
mc01f	mc01
mc02c	mc02
mc02e	mc02
mc02g	mc02
mc03b	mc03
mc03d	mc03
mc04a	mc04
mc04h	mc04
mc06c	mc06
mc07e	mc07
mc08d	mc08
mc09h	mc09
mc10e	mc10
mc11d	mc11
mc13g	mc13
mc14f	mc14
mc15g	mc15
mc19c	mc19
mc20b	mc20
mc20f	mc20
mc21d	mc21
mc26h	mc26
mc28d	mc28
mc29a	mc29
mc29f	mc29
mc30c	mc30
mc31f	mc31
mc32f	mc32
mc33d	mc33
mc34d	mc34
mc35f	mc35
mc36g	mc36
mc37f	mc37
mc38b	mc38
mc39g	mc39
mc40c	mc40
mc41c	mc41
mc41f	mc41
mc42f	mc42
mc43a	mc43
mc43c	mc43
mc44d	mc44
mc48c	mc48
mc49a	mc49
mc49c	mc49
mc49d	mc49
mc50d	mc50
mc15c	mc15
mc01a	mc01
mc01b	mc01
mc01d	mc01
mc01g	mc01
mc02f	mc02
mc03h	mc03
mc04g	mc04
mc06h	mc06
mc07b	mc07
mc08a	mc08
mc08b	mc08
mc08g	mc08
mc08h	mc08
mc09a	mc09
mc09b	mc09
mc09d	mc09
mc10a	mc10
mc10b	mc10
mc10d	mc10
mc11b	mc11
mc11c	mc11
mc11e	mc11
mc11h	mc11
mc13a	mc13
mc13b	mc13
mc13c	mc13
mc13d	mc13
mc14b	mc14
mc14c	mc14
mc14d	mc14
mc14h	mc14
mc15a	mc15
mc15b	mc15
mc15h	mc15
mc19b	mc19
mc20d	mc20
mc20h	mc20
mc21a	mc21
mc21b	mc21
mc21c	mc21
mc21e	mc21
mc26a	mc26
mc26c	mc26
mc26d	mc26
mc26e	mc26
mc28a	mc28
mc28b	mc28
mc28c	mc28
mc28f	mc28
mc29d	mc29
mc30a	mc30
mc30b	mc30
mc30d	mc30
mc30e	mc30
mc31b	mc31
mc32a	mc32
mc32b	mc32
mc32c	mc32
mc32d	mc32
mc32e	mc32
mc33b	mc33
mc33c	mc33
mc33e	mc33
mc34c	mc34
mc35a	mc35
mc35b	mc35
mc35c	mc35
mc35d	mc35
mc36a	mc36
mc36b	mc36
mc36e	mc36
mc36h	mc36
mc37c	mc37
mc37d	mc37
mc37e	mc37
mc37h	mc37
mc38g	mc38
mc39a	mc39
mc39b	mc39
