tab	sites
site	location
mc01	McMurdo
mc02	McMurdo
mc03	McMurdo
mc04	McMurdo
mc06	McMurdo
mc07	McMurdo
mc08	McMurdo
mc09	McMurdo
mc10	McMurdo
mc11	McMurdo
mc13	McMurdo
mc14	McMurdo
mc15	McMurdo
mc19	McMurdo
mc20	McMurdo
mc21	McMurdo
mc26	McMurdo
mc28	McMurdo
mc29	McMurdo
mc30	McMurdo
mc31	McMurdo
mc32	McMurdo
mc33	McMurdo
mc34	McMurdo
mc35	McMurdo
mc36	McMurdo
mc37	McMurdo
mc38	McMurdo
mc39	McMurdo
mc40	McMurdo
mc41	McMurdo
mc42	McMurdo
mc43	McMurdo
mc44	McMurdo
mc48	McMurdo
mc49	McMurdo
mc50	McMurdo
mc100	McMurdo
mc101	McMurdo
mc102	McMurdo
mc103	McMurdo
mc104	McMurdo
mc105	McMurdo
mc106	McMurdo
mc107	McMurdo
mc108	McMurdo
mc109	McMurdo
mc110	McMurdo
mc111	McMurdo
mc112	McMurdo
mc113	McMurdo
mc114	McMurdo
mc115	McMurdo
mc116	McMurdo
mc117	McMurdo
mc118	McMurdo
mc119	McMurdo
mc120	McMurdo
mc121	McMurdo
mc122	McMurdo
mc123	McMurdo
mc124	McMurdo
mc125	McMurdo
mc126	McMurdo
mc127	McMurdo
mc128	McMurdo
mc129	McMurdo
mc130	McMurdo
mc131	McMurdo
mc132	McMurdo
mc133	McMurdo
mc134	McMurdo
mc135	McMurdo
mc136	McMurdo
mc137	McMurdo
mc138	McMurdo
mc139	McMurdo
mc140	McMurdo
mc141	McMurdo
mc142	McMurdo
mc143	McMurdo
mc144	McMurdo
mc145	McMurdo
mc146	McMurdo
mc147	McMurdo
mc148	McMurdo
mc149	McMurdo
mc150	McMurdo
mc152	McMurdo
mc153	McMurdo
mc154	McMurdo
mc155	McMurdo
mc156	McMurdo
mc157	McMurdo
mc158	McMurdo
mc160	McMurdo
mc161	McMurdo
mc162	McMurdo
mc163	McMurdo
mc164	McMurdo
mc165	McMurdo
mc166	McMurdo
mc167	McMurdo
mc168	McMurdo
mc170	McMurdo
mc200	McMurdo
mc201	McMurdo
mc202	McMurdo
mc203	McMurdo
mc204	McMurdo
mc205	McMurdo
mc206	McMurdo
mc207	McMurdo
mc208	McMurdo
mc209	McMurdo
mc210	McMurdo
mc211	McMurdo
mc212	McMurdo
mc213	McMurdo
mc214	McMurdo
mc215	McMurdo
mc216	McMurdo
mc217	McMurdo
mc218	McMurdo
mc219	McMurdo
mc220	McMurdo
mc221	McMurdo
mc222	McMurdo
mc223	McMurdo
mc224	McMurdo
mc225	McMurdo
mc226	McMurdo
mc227	McMurdo
mc228	McMurdo
mc229	McMurdo
