υ	ʋ
ε	ɛ
	ᵑ
ḷ	l̩
š	ʃ
ž	ʒ
č	ʧ
ñ	ɲ
ʣ	dz
ʤ	dʒ
ʦ	ts
ʧ	tʃ
ʨ	tɕ
ʥ	dʑ
1	¹
2	²
3	³
4	⁴
5	⁵
ɡ	g
ʸ	ʲ
_	#
ʻ	ʼ
è	e
ò	o
ù	u
é	e
	ᵐ
ṃ	m̩
ṇ	n̩
ȵ	nʲ
:	ː
'	ˈ
ʚ	ɞ
ɞ	ɞ
ɷ	ʊ
ẋ	χ
ᴀ	a
ã	ã
ᴇ	ɛ
ɚ	ə˞
ü	y
â	a
ʱ	\u0324
\u01dd	ə
ǰ	dʒ
ǧ	dʒ
ǯ	dʒ
\u0023	_	
◦	+
’	ʼ
ˁ	ˤ
